Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,8.443,"45,01%","30,8%","45,94%"
ARAGON,,,,
P.S.O.E. - PARTIDO SOCIALISTA OBRERO ESPAÑOL,5.446,"29,04%","19,87%","29,63%"
"CHA-IU - CHUNTA ARAGONESISTA-IZQUIERDA UNIDA, La Izquierda",2.422,"12,91%","8,84%","13,18%"
UPyD - UNIÓN PROGRESO Y DEMOCRACIA,1.536,"8,19%","5,6%","8,36%"
EQUO - EQUO,191,"1,02%","0,7%","1,04%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,107,"0,57%","0,39%","0,58%"
Eb - ESCAÑOS EN BLANCO,101,"0,54%","0,37%","0,55%"
P.C.P.E. - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,42,"0,22%","0,15%","0,23%"
PUM+J - POR UN MUNDO MÁS JUSTO,25,"0,13%","0,09%","0,14%"
DeC - DEMOS EL CAMBIO,22,"0,12%","0,08%","0,12%"
P-LIB - PARTIDO DE LA LIBERTAD INDIVIDUAL,20,"0,11%","0,07%","0,11%"
PH - PARTIDO HUMANISTA,12,"0,06%","0,04%","0,07%"
U.C.E. - UNIFICACIÓN COMUNISTA DE ESPAÑA,10,"0,05%","0,04%","0,05%"
