Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,5.322,"40,06%","29,69%","40,39%"
PP - PARTIDO POPULAR,3.095,"23,3%","17,27%","23,49%"
PAR - PARTIDO ARAGONES,2.477,"18,65%","13,82%","18,8%"
IU - IZQUIERDA UNIDA DE ARAGON,1.778,"13,38%","9,92%","13,49%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,128,"0,96%","0,71%","0,97%"
CHA - CHUNTA ARAGONESISTA,115,"0,87%","0,64%","0,87%"
PST - PARTIDO SOCIALISTA DE LOS TRABAJADORES,85,"0,64%","0,47%","0,65%"
VERDES - LOS VERDES,80,"0,6%","0,45%","0,61%"
ARM-PAI-MAS - AGRUPACION RUIZ-MATEOS P.A.I.-M.A.S.,28,"0,21%","0,16%","0,21%"
IF - INDEPENDIENTES FEDERADOS DE ARAGON,24,"0,18%","0,13%","0,18%"
LE - LOS ECOLOGISTAS,16,"0,12%","0,09%","0,12%"
SEES - SALUD Y ECOLOGIA EN SOLIDARIDAD,7,"0,05%","0,04%","0,05%"
PH - PARTIDO HUMANISTA,7,"0,05%","0,04%","0,05%"
POR - PARTIDO OBRERO REVOLUCIONARIO,5,"0,04%","0,03%","0,04%"
PLN - PARTIDO DE LA LEY NATURAL,5,"0,04%","0,03%","0,04%"
NPS - COALICION POR UN NUEVO PARTIDO SOCIALISTA,4,"0,03%","0,02%","0,03%"
UCE - UNIFICACION COMUNISTA DE ESPAÑA,0,0%,0%,0%
