Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,8.860,"47,63%","34,42%","48,27%"
PP - PARTIDO POPULAR,6.337,"34,07%","24,62%","34,52%"
CHA - CHUNTA ARAGONESISTA,1.364,"7,33%","5,3%","7,43%"
PAR - PARTIDO ARAGONES,694,"3,73%","2,7%","3,78%"
IU - IZQUIERDA UNIDA-ALTERNATIVA,551,"2,96%","2,14%",3%
UPyD - UNION PROGRESO Y DEMOCRACIA,264,"1,42%","1,03%","1,44%"
LV - LOS VERDES-GRUPO VERDE,84,"0,45%","0,33%","0,46%"
PACMA - PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL,54,"0,29%","0,21%","0,29%"
C's - CIUDADANOS-PARTIDO DE LA CIUDADANIA,32,"0,17%","0,12%","0,17%"
pCUA - PARTIDO CIUDADANOS UNIDOS DE ARAGON,20,"0,11%","0,08%","0,11%"
PSD-FIA - PARTIDO SOCIAL DEMOCRATA-FEDERACION DE LOS,16,"0,09%","0,06%","0,09%"
INDEPENDIENTES DE ARAGON,,,,
DN - DEMOCRACIA NACIONAL,13,"0,07%","0,05%","0,07%"
Cenb - CIUDADANOS EN BLANCO,10,"0,05%","0,04%","0,05%"
PFyV - PARTIDO FAMILIA Y VIDA,8,"0,04%","0,03%","0,04%"
FE de las JONS - FALANGE ESPAÑOLA DE LAS JONS,8,"0,04%","0,03%","0,04%"
F.E - FRENTE ESPAÑOL,8,"0,04%","0,03%","0,04%"
AuN - ALIANZA NACIONAL,7,"0,04%","0,03%","0,04%"
F.A. - FALANGE AUTENTICA,7,"0,04%","0,03%","0,04%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,5,"0,03%","0,02%","0,03%"
PUM+J - POR UN MUNDO MAS JUSTO,5,"0,03%","0,02%","0,03%"
AES - ALTERNATIVA ESPAÑOLA,5,"0,03%","0,02%","0,03%"
E-2000 - ESPAÑA 2000,2,"0,01%","0,01%","0,01%"
