"",Candidatura,Votos,% válidos,% censo,% candidaturas
PP - PARTIDO POPULAR,,5.646,"41,6%","27,15%","42,18%"
PSOE-PROGR. - PARTIDO SOCIALISTA OBRERO ESPAÑOL -,,4.394,"32,37%","21,13%","32,82%"
PROGRESISTAS,,,,,
CHA - CHUNTA ARAGONESISTA,,2.123,"15,64%","10,21%","15,86%"
IU - IZQUIERDA UNIDA DE ARAGON,,565,"4,16%","2,72%","4,22%"
PAR - PARTIDO ARAGONES,,482,"3,55%","2,32%","3,6%"
LV-GV - LOS VERDES-GRUPO VERDE-SOS NATURALEZA,,88,"0,65%","0,42%","0,66%"
INAR - INICIATIVA ARAGONESA,,40,"0,29%","0,19%","0,3%"
PH - PARTIDO HUMANISTA,,13,"0,1%","0,06%","0,1%"
ES2000 - PLATAFORMA ESPAÑA 2000,,8,"0,06%","0,04%","0,06%"
UC-CDS - UNION CENTRISTA-CENTRO DEMOCRATICO Y SOCIAL,,7,"0,05%","0,03%","0,05%"
PLN - PARTIDO DE LA LEY NATURAL,,6,"0,04%","0,03%","0,04%"
FE - LA FALANGE,,5,"0,04%","0,02%","0,04%"
FEI-FE 2000 - FALANGE ESPAÑOLA INDEPENDIENTE-FALANGE,,4,"0,03%","0,02%","0,03%"
2000,,,,,
EC - ESTAT CATALA,,3,"0,02%","0,01%","0,02%"
PADE - PARTIDO DEMOCRATA ESPAÑOL,,3,"0,02%","0,01%","0,02%"
