Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,7.257,"42,59%","31,33%","43,64%"
PP - PARTIDO POPULAR,5.163,"30,3%","22,29%","31,05%"
CHA - CHUNTA ARAGONESISTA,3.064,"17,98%","13,23%","18,42%"
PAR - PARTIDO ARAGONES,525,"3,08%","2,27%","3,16%"
IU-LV - IZQUIERDA UNIDA-LOS VERDES,505,"2,96%","2,18%","3,04%"
CENB - CIUDADANOS EN BLANCO,24,"0,14%","0,1%","0,14%"
FyV - PARTIDO FAMILIA Y VIDA,21,"0,12%","0,09%","0,13%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,18,"0,11%","0,08%","0,11%"
IR - IZQUIERDA REPUBLICANA,11,"0,06%","0,05%","0,07%"
PH - PARTIDO HUMANISTA,8,"0,05%","0,03%","0,05%"
FE - LA FALANGE,7,"0,04%","0,03%","0,04%"
FA - FALANGE AUTENTICA,7,"0,04%","0,03%","0,04%"
DN - DEMOCRACIA NACIONAL,6,"0,04%","0,03%","0,04%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,6,"0,04%","0,03%","0,04%"
PCA - PARTIDO CARLISTA,4,"0,02%","0,02%","0,02%"
MSR - MOVIMIENTO SOCIAL REPUBLICANO,3,"0,02%","0,01%","0,02%"
FE de las JONS - FALANGE ESPAÑOLA DE LAS JONS,1,"0,01%",0%,"0,01%"
