Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,23.559,"43,36%","30,61%","44,16%"
ARAGON,,,,
P.S.O.E. - PARTIDO SOCIALISTA OBRERO ESPAÑOL,17.672,"32,52%","22,96%","33,13%"
"CHA-IU - CHUNTA ARAGONESISTA-IZQUIERDA UNIDA, La Izquierda",7.066,13%,"9,18%","13,25%"
UPyD - UNIÓN PROGRESO Y DEMOCRACIA,3.607,"6,64%","4,69%","6,76%"
EQUO - EQUO,409,"0,75%","0,53%","0,77%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,316,"0,58%","0,41%","0,59%"
Eb - ESCAÑOS EN BLANCO,300,"0,55%","0,39%","0,56%"
P.C.P.E. - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,104,"0,19%","0,14%","0,19%"
PUM+J - POR UN MUNDO MÁS JUSTO,101,"0,19%","0,13%","0,19%"
PH - PARTIDO HUMANISTA,68,"0,13%","0,09%","0,13%"
U.C.E. - UNIFICACIÓN COMUNISTA DE ESPAÑA,67,"0,12%","0,09%","0,13%"
DeC - DEMOS EL CAMBIO,39,"0,07%","0,05%","0,07%"
P-LIB - PARTIDO DE LA LIBERTAD INDIVIDUAL,38,"0,07%","0,05%","0,07%"
