Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,21.354,"30,03%","23,47%","30,28%"
PP - PARTIDO POPULAR,20.197,"28,4%","22,2%","28,64%"
PAR - PARTIDO ARAGONES,16.354,23%,"17,98%","23,19%"
IU - IZQUIERDA UNIDA DE ARAGON,9.996,"14,06%","10,99%","14,17%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,784,"1,1%","0,86%","1,11%"
CHA - CHUNTA ARAGONESISTA,751,"1,06%","0,83%","1,06%"
VERDES - LOS VERDES,394,"0,55%","0,43%","0,56%"
PST - PARTIDO SOCIALISTA DE LOS TRABAJADORES,228,"0,32%","0,25%","0,32%"
LE - LOS ECOLOGISTAS,120,"0,17%","0,13%","0,17%"
ARM-PAI-MAS - AGRUPACION RUIZ-MATEOS P.A.I.-M.A.S.,112,"0,16%","0,12%","0,16%"
SEES - SALUD Y ECOLOGIA EN SOLIDARIDAD,94,"0,13%","0,1%","0,13%"
IF - INDEPENDIENTES FEDERADOS DE ARAGON,54,"0,08%","0,06%","0,08%"
POR - PARTIDO OBRERO REVOLUCIONARIO,36,"0,05%","0,04%","0,05%"
PLN - PARTIDO DE LA LEY NATURAL,20,"0,03%","0,02%","0,03%"
NPS - COALICION POR UN NUEVO PARTIDO SOCIALISTA,17,"0,02%","0,02%","0,02%"
PH - PARTIDO HUMANISTA,11,"0,02%","0,01%","0,02%"
UCE - UNIFICACION COMUNISTA DE ESPAÑA,0,0%,0%,0%
