Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,27.994,"41,29%","31,95%","42,22%"
PP - PARTIDO POPULAR,21.441,"31,63%","24,47%","32,34%"
CHA - CHUNTA ARAGONESISTA,11.999,"17,7%","13,69%","18,1%"
PAR - PARTIDO ARAGONES,2.420,"3,57%","2,76%","3,65%"
IU-LV - IZQUIERDA UNIDA-LOS VERDES,1.948,"2,87%","2,22%","2,94%"
CENB - CIUDADANOS EN BLANCO,106,"0,16%","0,12%","0,16%"
FyV - PARTIDO FAMILIA Y VIDA,72,"0,11%","0,08%","0,11%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,67,"0,1%","0,08%","0,1%"
DN - DEMOCRACIA NACIONAL,51,"0,08%","0,06%","0,08%"
FE de las JONS - FALANGE ESPAÑOLA DE LAS JONS,44,"0,06%","0,05%","0,07%"
IR - IZQUIERDA REPUBLICANA,35,"0,05%","0,04%","0,05%"
PH - PARTIDO HUMANISTA,31,"0,05%","0,04%","0,05%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,29,"0,04%","0,03%","0,04%"
FE - LA FALANGE,20,"0,03%","0,02%","0,03%"
PCA - PARTIDO CARLISTA,16,"0,02%","0,02%","0,02%"
FA - FALANGE AUTENTICA,14,"0,02%","0,02%","0,02%"
MSR - MOVIMIENTO SOCIAL REPUBLICANO,12,"0,02%","0,01%","0,02%"
