Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,30.177,"48,85%","36,82%","49,48%"
PP - PARTIDO POPULAR,20.908,"33,84%","25,51%","34,28%"
CHA - CHUNTA ARAGONESISTA,4.141,"6,7%","5,05%","6,79%"
PAR - PARTIDO ARAGONES,2.346,"3,8%","2,86%","3,85%"
IU - IZQUIERDA UNIDA-ALTERNATIVA,1.882,"3,05%","2,3%","3,09%"
UPyD - UNION PROGRESO Y DEMOCRACIA,744,"1,2%","0,91%","1,22%"
LV - LOS VERDES-GRUPO VERDE,211,"0,34%","0,26%","0,35%"
PACMA - PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL,132,"0,21%","0,16%","0,22%"
C's - CIUDADANOS-PARTIDO DE LA CIUDADANIA,84,"0,14%","0,1%","0,14%"
pCUA - PARTIDO CIUDADANOS UNIDOS DE ARAGON,57,"0,09%","0,07%","0,09%"
PUM+J - POR UN MUNDO MAS JUSTO,47,"0,08%","0,06%","0,08%"
Cenb - CIUDADANOS EN BLANCO,44,"0,07%","0,05%","0,07%"
DN - DEMOCRACIA NACIONAL,43,"0,07%","0,05%","0,07%"
PFyV - PARTIDO FAMILIA Y VIDA,36,"0,06%","0,04%","0,06%"
PSD-FIA - PARTIDO SOCIAL DEMOCRATA-FEDERACION DE LOS,31,"0,05%","0,04%","0,05%"
INDEPENDIENTES DE ARAGON,,,,
FE de las JONS - FALANGE ESPAÑOLA DE LAS JONS,27,"0,04%","0,03%","0,04%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,25,"0,04%","0,03%","0,04%"
F.A. - FALANGE AUTENTICA,15,"0,02%","0,02%","0,02%"
F.E - FRENTE ESPAÑOL,11,"0,02%","0,01%","0,02%"
AuN - ALIANZA NACIONAL,10,"0,02%","0,01%","0,02%"
AES - ALTERNATIVA ESPAÑOLA,9,"0,01%","0,01%","0,01%"
E-2000 - ESPAÑA 2000,7,"0,01%","0,01%","0,01%"
