Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,15.787,"29,14%","21,2%","29,37%"
ARAGON,,,,
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,12.764,"23,56%","17,14%","23,75%"
PODEMOS - PODEMOS,10.937,"20,19%","14,69%","20,35%"
C's - CIUDADANOS-PARTIDO DE LA CIUDADANÍA,8.734,"16,12%","11,73%","16,25%"
"IU-CHA-UPeC - UNIDAD POPULAR EN ARAGÓN: IZQUIERDA UNIDA,",3.740,"6,9%","5,02%","6,96%"
CHUNTA,,,,
UPYD - UNIÓN PROGRESO Y DEMOCRACIA,500,"0,92%","0,67%","0,93%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,477,"0,88%","0,64%","0,89%"
EB - ESCAÑOS EN BLANCO,347,"0,64%","0,47%","0,65%"
VOX - VOX,207,"0,38%","0,28%","0,39%"
RECORTES CE - RECORTES CERO-GRUPO VERDE,138,"0,25%","0,19%","0,26%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,81,"0,15%","0,11%","0,15%"
Independien - INDEPENDIENTES POR ARAGÓN,46,"0,08%","0,06%","0,09%"
