Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,3.888,"25,2%","19,53%","25,42%"
ARAGON,,,,
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,3.770,"24,44%","18,94%","24,65%"
PODEMOS - PODEMOS,3.218,"20,86%","16,17%","21,04%"
C's - CIUDADANOS-PARTIDO DE LA CIUDADANÍA,2.728,"17,68%","13,71%","17,83%"
"IU-CHA-UPeC - UNIDAD POPULAR EN ARAGÓN: IZQUIERDA UNIDA,",1.195,"7,75%",6%,"7,81%"
CHUNTA,,,,
UPYD - UNIÓN PROGRESO Y DEMOCRACIA,159,"1,03%","0,8%","1,04%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,133,"0,86%","0,67%","0,87%"
EB - ESCAÑOS EN BLANCO,105,"0,68%","0,53%","0,69%"
VOX - VOX,52,"0,34%","0,26%","0,34%"
RECORTES CE - RECORTES CERO-GRUPO VERDE,26,"0,17%","0,13%","0,17%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,12,"0,08%","0,06%","0,08%"
Independien - INDEPENDIENTES POR ARAGÓN,11,"0,07%","0,06%","0,07%"
