Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,7.342,"43,61%","34,93%","44,63%"
PP - PARTIDO POPULAR,4.905,"29,13%","23,34%","29,82%"
CHA - CHUNTA ARAGONESISTA,3.063,"18,19%","14,57%","18,62%"
PAR - PARTIDO ARAGONES,572,"3,4%","2,72%","3,48%"
IU-LV - IZQUIERDA UNIDA-LOS VERDES,457,"2,71%","2,17%","2,78%"
CENB - CIUDADANOS EN BLANCO,25,"0,15%","0,12%","0,15%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,19,"0,11%","0,09%","0,12%"
DN - DEMOCRACIA NACIONAL,17,"0,1%","0,08%","0,1%"
FyV - PARTIDO FAMILIA Y VIDA,14,"0,08%","0,07%","0,09%"
MSR - MOVIMIENTO SOCIAL REPUBLICANO,9,"0,05%","0,04%","0,05%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,6,"0,04%","0,03%","0,04%"
FE - LA FALANGE,6,"0,04%","0,03%","0,04%"
FA - FALANGE AUTENTICA,4,"0,02%","0,02%","0,02%"
FE de las JONS - FALANGE ESPAÑOLA DE LAS JONS,3,"0,02%","0,01%","0,02%"
PH - PARTIDO HUMANISTA,3,"0,02%","0,01%","0,02%"
PCA - PARTIDO CARLISTA,2,"0,01%","0,01%","0,01%"
IR - IZQUIERDA REPUBLICANA,2,"0,01%","0,01%","0,01%"
