Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,5.913,"39,74%","29,32%","40,51%"
ARAGON,,,,
P.S.O.E. - PARTIDO SOCIALISTA OBRERO ESPAÑOL,5.003,"33,62%","24,81%","34,28%"
"CHA-IU - CHUNTA ARAGONESISTA-IZQUIERDA UNIDA, La Izquierda",2.121,"14,25%","10,52%","14,53%"
UPyD - UNIÓN PROGRESO Y DEMOCRACIA,1.150,"7,73%","5,7%","7,88%"
EQUO - EQUO,116,"0,78%","0,58%","0,79%"
Eb - ESCAÑOS EN BLANCO,89,"0,6%","0,44%","0,61%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,86,"0,58%","0,43%","0,59%"
PUM+J - POR UN MUNDO MÁS JUSTO,37,"0,25%","0,18%","0,25%"
P.C.P.E. - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,28,"0,19%","0,14%","0,19%"
DeC - DEMOS EL CAMBIO,15,"0,1%","0,07%","0,1%"
U.C.E. - UNIFICACIÓN COMUNISTA DE ESPAÑA,14,"0,09%","0,07%","0,1%"
PH - PARTIDO HUMANISTA,13,"0,09%","0,06%","0,09%"
P-LIB - PARTIDO DE LA LIBERTAD INDIVIDUAL,11,"0,07%","0,05%","0,08%"
