"",Candidatura,Votos,% válidos,% censo,% candidaturas
PP - PARTIDO POPULAR,,6.368,"41,51%","30,06%","42,13%"
PSOE-PROGR. - PARTIDO SOCIALISTA OBRERO ESPAÑOL -,,4.533,"29,55%","21,4%","29,99%"
PROGRESISTAS,,,,,
CHA - CHUNTA ARAGONESISTA,,2.830,"18,45%","13,36%","18,72%"
IU - IZQUIERDA UNIDA DE ARAGON,,691,"4,5%","3,26%","4,57%"
PAR - PARTIDO ARAGONES,,552,"3,6%","2,61%","3,65%"
LV-GV - LOS VERDES-GRUPO VERDE-SOS NATURALEZA,,85,"0,55%","0,4%","0,56%"
INAR - INICIATIVA ARAGONESA,,18,"0,12%","0,08%","0,12%"
PH - PARTIDO HUMANISTA,,9,"0,06%","0,04%","0,06%"
UC-CDS - UNION CENTRISTA-CENTRO DEMOCRATICO Y SOCIAL,,8,"0,05%","0,04%","0,05%"
FE - LA FALANGE,,8,"0,05%","0,04%","0,05%"
ES2000 - PLATAFORMA ESPAÑA 2000,,4,"0,03%","0,02%","0,03%"
EC - ESTAT CATALA,,3,"0,02%","0,01%","0,02%"
FEI-FE 2000 - FALANGE ESPAÑOLA INDEPENDIENTE-FALANGE,,3,"0,02%","0,01%","0,02%"
2000,,,,,
PLN - PARTIDO DE LA LEY NATURAL,,2,"0,01%","0,01%","0,01%"
PADE - PARTIDO DEMOCRATA ESPAÑOL,,0,0%,0%,0%
