Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,5.815,"32,36%","25,52%","32,6%"
PP - PARTIDO POPULAR,4.763,"26,51%","20,9%","26,7%"
PAR - PARTIDO ARAGONES,3.771,"20,99%","16,55%","21,14%"
IU - IZQUIERDA UNIDA DE ARAGON,2.751,"15,31%","12,07%","15,42%"
CHA - CHUNTA ARAGONESISTA,251,"1,4%","1,1%","1,41%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,198,"1,1%","0,87%","1,11%"
VERDES - LOS VERDES,92,"0,51%","0,4%","0,52%"
PST - PARTIDO SOCIALISTA DE LOS TRABAJADORES,72,"0,4%","0,32%","0,4%"
ARM-PAI-MAS - AGRUPACION RUIZ-MATEOS P.A.I.-M.A.S.,54,"0,3%","0,24%","0,3%"
LE - LOS ECOLOGISTAS,26,"0,14%","0,11%","0,15%"
IF - INDEPENDIENTES FEDERADOS DE ARAGON,14,"0,08%","0,06%","0,08%"
SEES - SALUD Y ECOLOGIA EN SOLIDARIDAD,14,"0,08%","0,06%","0,08%"
PH - PARTIDO HUMANISTA,6,"0,03%","0,03%","0,03%"
NPS - COALICION POR UN NUEVO PARTIDO SOCIALISTA,4,"0,02%","0,02%","0,02%"
PLN - PARTIDO DE LA LEY NATURAL,3,"0,02%","0,01%","0,02%"
POR - PARTIDO OBRERO REVOLUCIONARIO,3,"0,02%","0,01%","0,02%"
UCE - UNIFICACION COMUNISTA DE ESPAÑA,0,0%,0%,0%
