Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,8.124,"50,75%","39,67%","51,44%"
PP - PARTIDO POPULAR,4.937,"30,84%","24,11%","31,26%"
CHA - CHUNTA ARAGONESISTA,1.137,"7,1%","5,55%","7,2%"
PAR - PARTIDO ARAGONES,662,"4,14%","3,23%","4,19%"
IU - IZQUIERDA UNIDA-ALTERNATIVA,473,"2,95%","2,31%","2,99%"
UPyD - UNION PROGRESO Y DEMOCRACIA,244,"1,52%","1,19%","1,54%"
LV - LOS VERDES-GRUPO VERDE,62,"0,39%","0,3%","0,39%"
PACMA - PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL,30,"0,19%","0,15%","0,19%"
C's - CIUDADANOS-PARTIDO DE LA CIUDADANIA,22,"0,14%","0,11%","0,14%"
PUM+J - POR UN MUNDO MAS JUSTO,20,"0,12%","0,1%","0,13%"
DN - DEMOCRACIA NACIONAL,18,"0,11%","0,09%","0,11%"
pCUA - PARTIDO CIUDADANOS UNIDOS DE ARAGON,14,"0,09%","0,07%","0,09%"
FE de las JONS - FALANGE ESPAÑOLA DE LAS JONS,9,"0,06%","0,04%","0,06%"
Cenb - CIUDADANOS EN BLANCO,9,"0,06%","0,04%","0,06%"
PFyV - PARTIDO FAMILIA Y VIDA,6,"0,04%","0,03%","0,04%"
PSD-FIA - PARTIDO SOCIAL DEMOCRATA-FEDERACION DE LOS,6,"0,04%","0,03%","0,04%"
INDEPENDIENTES DE ARAGON,,,,
F.E - FRENTE ESPAÑOL,5,"0,03%","0,02%","0,03%"
F.A. - FALANGE AUTENTICA,4,"0,02%","0,02%","0,03%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,4,"0,02%","0,02%","0,03%"
AuN - ALIANZA NACIONAL,4,"0,02%","0,02%","0,03%"
E-2000 - ESPAÑA 2000,3,"0,02%","0,01%","0,02%"
PH - PARTIDO HUMANISTA,0,0%,0%,0%
