"",Candidatura,Votos,% válidos,% censo,% candidaturas
PP - PARTIDO POPULAR,,21.726,"60,12%","48,66%","61,14%"
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,,9.647,"26,7%","21,61%","27,15%"
PAR - PARTIDO ARAGONES,,1.127,"3,12%","2,52%","3,17%"
CHA - CHUNTA ARAGONESISTA,,1.072,"2,97%","2,4%","3,02%"
UPyD - UNION PROGRESO Y DEMOCRACIA,,781,"2,16%","1,75%","2,2%"
IU - IZQUIERDA UNIDA-ALTERNATIVA,,699,"1,93%","1,57%","1,97%"
LV - LOS VERDES-GRUPO VERDE,,120,"0,33%","0,27%","0,34%"
C's - CIUDADANOS-PARTIDO DE LA CIUDADANIA,,112,"0,31%","0,25%","0,32%"
PACMA - PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL,,64,"0,18%","0,14%","0,18%"
PUM+J - POR UN MUNDO MAS JUSTO,,31,"0,09%","0,07%","0,09%"
Cenb - CIUDADANOS EN BLANCO,,29,"0,08%","0,06%","0,08%"
PFyV - PARTIDO FAMILIA Y VIDA,,25,"0,07%","0,06%","0,07%"
pCUA - PARTIDO CIUDADANOS UNIDOS DE ARAGON,,22,"0,06%","0,05%","0,06%"
PSD-FIA - PARTIDO SOCIAL DEMOCRATA-FEDERACION DE LOS,,16,"0,04%","0,04%","0,05%"
INDEPENDIENTES DE ARAGON,,,,,
DN - DEMOCRACIA NACIONAL,,10,"0,03%","0,02%","0,03%"
PH - PARTIDO HUMANISTA,,10,"0,03%","0,02%","0,03%"
AES - ALTERNATIVA ESPAÑOLA,,10,"0,03%","0,02%","0,03%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,,8,"0,02%","0,02%","0,02%"
AuN - ALIANZA NACIONAL,,8,"0,02%","0,02%","0,02%"
F.E - FRENTE ESPAÑOL,,7,"0,02%","0,02%","0,02%"
FE de las JONS - FALANGE ESPAÑOLA DE LAS JONS,,6,"0,02%","0,01%","0,02%"
F.A. - FALANGE AUTENTICA,,4,"0,01%","0,01%","0,01%"
