"",Candidatura,Votos,% válidos,% censo,% candidaturas
PP - PARTIDO POPULAR,,22.352,"57,28%","46,83%","59,22%"
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,,9.315,"23,87%","19,51%","24,68%"
CHA - CHUNTA ARAGONESISTA,,3.633,"9,31%","7,61%","9,63%"
PAR - PARTIDO ARAGONES,,1.349,"3,46%","2,83%","3,57%"
IU-LV - IZQUIERDA UNIDA-LOS VERDES,,759,"1,95%","1,59%","2,01%"
CENB - CIUDADANOS EN BLANCO,,93,"0,24%","0,19%","0,25%"
FyV - PARTIDO FAMILIA Y VIDA,,72,"0,18%","0,15%","0,19%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,,56,"0,14%","0,12%","0,15%"
FA - FALANGE AUTENTICA,,20,"0,05%","0,04%","0,05%"
PH - PARTIDO HUMANISTA,,20,"0,05%","0,04%","0,05%"
DN - DEMOCRACIA NACIONAL,,16,"0,04%","0,03%","0,04%"
IR - IZQUIERDA REPUBLICANA,,14,"0,04%","0,03%","0,04%"
FE de las JONS - FALANGE ESPAÑOLA DE LAS JONS,,13,"0,03%","0,03%","0,03%"
FE - LA FALANGE,,10,"0,03%","0,02%","0,03%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,,10,"0,03%","0,02%","0,03%"
PCA - PARTIDO CARLISTA,,6,"0,02%","0,01%","0,02%"
MSR - MOVIMIENTO SOCIAL REPUBLICANO,,3,"0,01%","0,01%","0,01%"
