"",Candidatura,Votos,% válidos,% censo,% candidaturas
PP - PARTIDO POPULAR,,27.377,"69,81%","54,39%","71,15%"
PSOE-PROGR. - PARTIDO SOCIALISTA OBRERO ESPAÑOL -,,5.415,"13,81%","10,76%","14,07%"
PROGRESISTAS,,,,,
CHA - CHUNTA ARAGONESISTA,,3.410,"8,69%","6,78%","8,86%"
PAR - PARTIDO ARAGONES,,951,"2,42%","1,89%","2,47%"
IU - IZQUIERDA UNIDA DE ARAGON,,917,"2,34%","1,82%","2,38%"
LV-GV - LOS VERDES-GRUPO VERDE-SOS NATURALEZA,,210,"0,54%","0,42%","0,55%"
INAR - INICIATIVA ARAGONESA,,84,"0,21%","0,17%","0,22%"
FE - LA FALANGE,,32,"0,08%","0,06%","0,08%"
PH - PARTIDO HUMANISTA,,18,"0,05%","0,04%","0,05%"
ES2000 - PLATAFORMA ESPAÑA 2000,,17,"0,04%","0,03%","0,04%"
FEI-FE 2000 - FALANGE ESPAÑOLA INDEPENDIENTE-FALANGE,,17,"0,04%","0,03%","0,04%"
2000,,,,,
PLN - PARTIDO DE LA LEY NATURAL,,12,"0,03%","0,02%","0,03%"
UC-CDS - UNION CENTRISTA-CENTRO DEMOCRATICO Y SOCIAL,,11,"0,03%","0,02%","0,03%"
EC - ESTAT CATALA,,4,"0,01%","0,01%","0,01%"
PADE - PARTIDO DEMOCRATA ESPAÑOL,,3,"0,01%","0,01%","0,01%"
