Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,14.184,"54,6%","40,97%","55,2%"
PP - PARTIDO POPULAR,7.216,"27,78%","20,84%","28,08%"
CHA - CHUNTA ARAGONESISTA,1.779,"6,85%","5,14%","6,92%"
PAR - PARTIDO ARAGONES,1.137,"4,38%","3,28%","4,42%"
IU - IZQUIERDA UNIDA-ALTERNATIVA,861,"3,31%","2,49%","3,35%"
UPyD - UNION PROGRESO Y DEMOCRACIA,215,"0,83%","0,62%","0,84%"
LV - LOS VERDES-GRUPO VERDE,65,"0,25%","0,19%","0,25%"
PACMA - PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL,44,"0,17%","0,13%","0,17%"
pCUA - PARTIDO CIUDADANOS UNIDOS DE ARAGON,35,"0,13%","0,1%","0,14%"
C's - CIUDADANOS-PARTIDO DE LA CIUDADANIA,24,"0,09%","0,07%","0,09%"
DN - DEMOCRACIA NACIONAL,19,"0,07%","0,05%","0,07%"
Cenb - CIUDADANOS EN BLANCO,16,"0,06%","0,05%","0,06%"
PSD-FIA - PARTIDO SOCIAL DEMOCRATA-FEDERACION DE LOS,16,"0,06%","0,05%","0,06%"
INDEPENDIENTES DE ARAGON,,,,
PFyV - PARTIDO FAMILIA Y VIDA,13,"0,05%","0,04%","0,05%"
F.E - FRENTE ESPAÑOL,12,"0,05%","0,03%","0,05%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,12,"0,05%","0,03%","0,05%"
PUM+J - POR UN MUNDO MAS JUSTO,12,"0,05%","0,03%","0,05%"
FE de las JONS - FALANGE ESPAÑOLA DE LAS JONS,11,"0,04%","0,03%","0,04%"
AuN - ALIANZA NACIONAL,9,"0,03%","0,03%","0,04%"
F.A. - FALANGE AUTENTICA,6,"0,02%","0,02%","0,02%"
E-2000 - ESPAÑA 2000,4,"0,02%","0,01%","0,02%"
PH - PARTIDO HUMANISTA,4,"0,02%","0,01%","0,02%"
