Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,8.766,"38,23%","26,71%","38,98%"
ARAGON,,,,
P.S.O.E. - PARTIDO SOCIALISTA OBRERO ESPAÑOL,8.554,"37,3%","26,07%","38,04%"
"CHA-IU - CHUNTA ARAGONESISTA-IZQUIERDA UNIDA, La Izquierda",3.239,"14,12%","9,87%","14,4%"
UPyD - UNIÓN PROGRESO Y DEMOCRACIA,1.319,"5,75%","4,02%","5,87%"
EQUO - EQUO,147,"0,64%","0,45%","0,65%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,135,"0,59%","0,41%","0,6%"
Eb - ESCAÑOS EN BLANCO,124,"0,54%","0,38%","0,55%"
P.C.P.E. - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,69,"0,3%","0,21%","0,31%"
PUM+J - POR UN MUNDO MÁS JUSTO,50,"0,22%","0,15%","0,22%"
PH - PARTIDO HUMANISTA,22,"0,1%","0,07%","0,1%"
DeC - DEMOS EL CAMBIO,21,"0,09%","0,06%","0,09%"
P-LIB - PARTIDO DE LA LIBERTAD INDIVIDUAL,21,"0,09%","0,06%","0,09%"
U.C.E. - UNIFICACIÓN COMUNISTA DE ESPAÑA,20,"0,09%","0,06%","0,09%"
