Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,11.446,"37,24%","28,73%","37,46%"
PAR - PARTIDO ARAGONES,6.852,"22,29%","17,2%","22,42%"
PP - PARTIDO POPULAR,6.586,"21,43%","16,53%","21,55%"
IU - IZQUIERDA UNIDA DE ARAGON,4.624,"15,04%","11,61%","15,13%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,324,"1,05%","0,81%","1,06%"
CHA - CHUNTA ARAGONESISTA,309,"1,01%","0,78%","1,01%"
VERDES - LOS VERDES,152,"0,49%","0,38%","0,5%"
PST - PARTIDO SOCIALISTA DE LOS TRABAJADORES,94,"0,31%","0,24%","0,31%"
LE - LOS ECOLOGISTAS,47,"0,15%","0,12%","0,15%"
ARM-PAI-MAS - AGRUPACION RUIZ-MATEOS P.A.I.-M.A.S.,46,"0,15%","0,12%","0,15%"
POR - PARTIDO OBRERO REVOLUCIONARIO,25,"0,08%","0,06%","0,08%"
IF - INDEPENDIENTES FEDERADOS DE ARAGON,18,"0,06%","0,05%","0,06%"
SEES - SALUD Y ECOLOGIA EN SOLIDARIDAD,14,"0,05%","0,04%","0,05%"
PLN - PARTIDO DE LA LEY NATURAL,11,"0,04%","0,03%","0,04%"
NPS - COALICION POR UN NUEVO PARTIDO SOCIALISTA,6,"0,02%","0,02%","0,02%"
PH - PARTIDO HUMANISTA,4,"0,01%","0,01%","0,01%"
UCE - UNIFICACION COMUNISTA DE ESPAÑA,0,0%,0%,0%
