Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,11.575,"44,71%","30,57%","45,02%"
IU - IZQUIERDA UNIDA,4.226,"16,32%","11,16%","16,44%"
PP - PARTIDO POPULAR,4.169,"16,1%","11,01%","16,22%"
PAR - PARTIDO ARAGONES REGIONALISTA,2.487,"9,61%","6,57%","9,67%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,1.758,"6,79%","4,64%","6,84%"
RUIZ-MATEOS - AGRUPACION RUIZ-MATEOS,343,"1,32%","0,91%","1,33%"
PST - PARTIDO SOCIALISTA DE LOS TRABAJADORES,267,"1,03%","0,71%","1,04%"
LVE - LOS VERDES ECOLOGISTAS,174,"0,67%","0,46%","0,68%"
PTE-UC - PARTIDO TRABAJADORES DE ESPAÑA-UNIDAD,167,"0,65%","0,44%","0,65%"
COMUNISTA,,,,
LV-LV - LOS VERDES-LISTA VERDE,159,"0,61%","0,42%","0,62%"
UA-CH.A - UNION ARAGONESISTA-CHUNTA ARAGONESISTA,144,"0,56%","0,38%","0,56%"
CSD - COALICION SOCIALDEMOCRATA,120,"0,46%","0,32%","0,47%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,50,"0,19%","0,13%","0,19%"
FE-JONS - FALANGE ESPAÑOLA DE LAS J.O.N.S.,34,"0,13%","0,09%","0,13%"
PH - PARTIDO HUMANISTA,19,"0,07%","0,05%","0,07%"
AR - ALIANZA POR LA REPUBLICA,18,"0,07%","0,05%","0,07%"
PCE-(M.L.) - PARTIDO COMUNISTA DE ESPAÑA,0,0%,0%,0%
