Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,16.143,"44,53%","29,99%","44,92%"
IU - IZQUIERDA UNIDA,6.978,"19,25%","12,96%","19,42%"
PP - PARTIDO POPULAR,5.072,"13,99%","9,42%","14,11%"
PAR - PARTIDO ARAGONES REGIONALISTA,3.224,"8,89%","5,99%","8,97%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,2.473,"6,82%","4,59%","6,88%"
RUIZ-MATEOS - AGRUPACION RUIZ-MATEOS,451,"1,24%","0,84%","1,25%"
PTE-UC - PARTIDO TRABAJADORES DE ESPAÑA-UNIDAD,375,"1,03%","0,7%","1,04%"
COMUNISTA,,,,
PST - PARTIDO SOCIALISTA DE LOS TRABAJADORES,287,"0,79%","0,53%","0,8%"
LV-LV - LOS VERDES-LISTA VERDE,253,"0,7%","0,47%","0,7%"
LVE - LOS VERDES ECOLOGISTAS,248,"0,68%","0,46%","0,69%"
UA-CH.A - UNION ARAGONESISTA-CHUNTA ARAGONESISTA,178,"0,49%","0,33%","0,5%"
CSD - COALICION SOCIALDEMOCRATA,104,"0,29%","0,19%","0,29%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,58,"0,16%","0,11%","0,16%"
PH - PARTIDO HUMANISTA,38,"0,1%","0,07%","0,11%"
FE-JONS - FALANGE ESPAÑOLA DE LAS J.O.N.S.,31,"0,09%","0,06%","0,09%"
AR - ALIANZA POR LA REPUBLICA,26,"0,07%","0,05%","0,07%"
PCE-(M.L.) - PARTIDO COMUNISTA DE ESPAÑA,0,0%,0%,0%
