Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,17.547,"36,8%","28,2%","37,06%"
PAR - PARTIDO ARAGONES,9.661,"20,26%","15,52%","20,4%"
PP - PARTIDO POPULAR,9.601,"20,14%","15,43%","20,28%"
IU - IZQUIERDA UNIDA DE ARAGON,8.680,"18,2%","13,95%","18,33%"
CHA - CHUNTA ARAGONESISTA,622,"1,3%",1%,"1,31%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,458,"0,96%","0,74%","0,97%"
VERDES - LOS VERDES,281,"0,59%","0,45%","0,59%"
PST - PARTIDO SOCIALISTA DE LOS TRABAJADORES,196,"0,41%","0,31%","0,41%"
ARM-PAI-MAS - AGRUPACION RUIZ-MATEOS P.A.I.-M.A.S.,87,"0,18%","0,14%","0,18%"
LE - LOS ECOLOGISTAS,75,"0,16%","0,12%","0,16%"
SEES - SALUD Y ECOLOGIA EN SOLIDARIDAD,42,"0,09%","0,07%","0,09%"
POR - PARTIDO OBRERO REVOLUCIONARIO,37,"0,08%","0,06%","0,08%"
IF - INDEPENDIENTES FEDERADOS DE ARAGON,31,"0,07%","0,05%","0,07%"
PLN - PARTIDO DE LA LEY NATURAL,12,"0,03%","0,02%","0,03%"
PH - PARTIDO HUMANISTA,10,"0,02%","0,02%","0,02%"
NPS - COALICION POR UN NUEVO PARTIDO SOCIALISTA,9,"0,02%","0,01%","0,02%"
UCE - UNIFICACION COMUNISTA DE ESPAÑA,0,0%,0%,0%
