Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,33.050,"45,36%","35,36%","46,35%"
PP - PARTIDO POPULAR,18.874,"25,9%","20,19%","26,47%"
CHA - CHUNTA ARAGONESISTA,13.934,"19,12%","14,91%","19,54%"
IU-LV - IZQUIERDA UNIDA-LOS VERDES,2.701,"3,71%","2,89%","3,79%"
PAR - PARTIDO ARAGONES,2.287,"3,14%","2,45%","3,21%"
CENB - CIUDADANOS EN BLANCO,108,"0,15%","0,12%","0,15%"
FyV - PARTIDO FAMILIA Y VIDA,61,"0,08%","0,07%","0,09%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,59,"0,08%","0,06%","0,08%"
DN - DEMOCRACIA NACIONAL,43,"0,06%","0,05%","0,06%"
PH - PARTIDO HUMANISTA,41,"0,06%","0,04%","0,06%"
IR - IZQUIERDA REPUBLICANA,35,"0,05%","0,04%","0,05%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,31,"0,04%","0,03%","0,04%"
FE - LA FALANGE,26,"0,04%","0,03%","0,04%"
FE de las JONS - FALANGE ESPAÑOLA DE LAS JONS,24,"0,03%","0,03%","0,03%"
FA - FALANGE AUTENTICA,12,"0,02%","0,01%","0,02%"
MSR - MOVIMIENTO SOCIAL REPUBLICANO,12,"0,02%","0,01%","0,02%"
PCA - PARTIDO CARLISTA,5,"0,01%","0,01%","0,01%"
