Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,39.641,"52,81%","40,52%","53,5%"
PP - PARTIDO POPULAR,21.288,"28,36%","21,76%","28,73%"
CHA - CHUNTA ARAGONESISTA,5.439,"7,25%","5,56%","7,34%"
PAR - PARTIDO ARAGONES,2.817,"3,75%","2,88%","3,8%"
IU - IZQUIERDA UNIDA-ALTERNATIVA,2.811,"3,74%","2,87%","3,79%"
UPyD - UNION PROGRESO Y DEMOCRACIA,1.121,"1,49%","1,15%","1,51%"
LV - LOS VERDES-GRUPO VERDE,262,"0,35%","0,27%","0,35%"
C's - CIUDADANOS-PARTIDO DE LA CIUDADANIA,143,"0,19%","0,15%","0,19%"
PACMA - PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL,130,"0,17%","0,13%","0,18%"
Cenb - CIUDADANOS EN BLANCO,75,"0,1%","0,08%","0,1%"
pCUA - PARTIDO CIUDADANOS UNIDOS DE ARAGON,61,"0,08%","0,06%","0,08%"
PUM+J - POR UN MUNDO MAS JUSTO,57,"0,08%","0,06%","0,08%"
FE de las JONS - FALANGE ESPAÑOLA DE LAS JONS,35,"0,05%","0,04%","0,05%"
DN - DEMOCRACIA NACIONAL,32,"0,04%","0,03%","0,04%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,32,"0,04%","0,03%","0,04%"
PFyV - PARTIDO FAMILIA Y VIDA,30,"0,04%","0,03%","0,04%"
PSD-FIA - PARTIDO SOCIAL DEMOCRATA-FEDERACION DE LOS,28,"0,04%","0,03%","0,04%"
INDEPENDIENTES DE ARAGON,,,,
AuN - ALIANZA NACIONAL,26,"0,03%","0,03%","0,04%"
F.A. - FALANGE AUTENTICA,23,"0,03%","0,02%","0,03%"
F.E - FRENTE ESPAÑOL,21,"0,03%","0,02%","0,03%"
E-2000 - ESPAÑA 2000,14,"0,02%","0,01%","0,02%"
AES - ALTERNATIVA ESPAÑOLA,7,"0,01%","0,01%","0,01%"
