Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,9.387,"41,61%","30,25%","42,22%"
PP - PARTIDO POPULAR,9.264,"41,06%","29,85%","41,67%"
CHA - CHUNTA ARAGONESISTA,1.125,"4,99%","3,62%","5,06%"
IU - IZQUIERDA UNIDA-ALTERNATIVA,986,"4,37%","3,18%","4,43%"
PAR - PARTIDO ARAGONES,821,"3,64%","2,65%","3,69%"
UPyD - UNION PROGRESO Y DEMOCRACIA,346,"1,53%","1,11%","1,56%"
LV - LOS VERDES-GRUPO VERDE,80,"0,35%","0,26%","0,36%"
PACMA - PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL,42,"0,19%","0,14%","0,19%"
C's - CIUDADANOS-PARTIDO DE LA CIUDADANIA,30,"0,13%","0,1%","0,13%"
PUM+J - POR UN MUNDO MAS JUSTO,29,"0,13%","0,09%","0,13%"
Cenb - CIUDADANOS EN BLANCO,21,"0,09%","0,07%","0,09%"
PFyV - PARTIDO FAMILIA Y VIDA,20,"0,09%","0,06%","0,09%"
DN - DEMOCRACIA NACIONAL,16,"0,07%","0,05%","0,07%"
pCUA - PARTIDO CIUDADANOS UNIDOS DE ARAGON,14,"0,06%","0,05%","0,06%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,10,"0,04%","0,03%","0,04%"
AES - ALTERNATIVA ESPAÑOLA,7,"0,03%","0,02%","0,03%"
PSD-FIA - PARTIDO SOCIAL DEMOCRATA-FEDERACION DE LOS,7,"0,03%","0,02%","0,03%"
INDEPENDIENTES DE ARAGON,,,,
FE de las JONS - FALANGE ESPAÑOLA DE LAS JONS,7,"0,03%","0,02%","0,03%"
AuN - ALIANZA NACIONAL,6,"0,03%","0,02%","0,03%"
F.E - FRENTE ESPAÑOL,4,"0,02%","0,01%","0,02%"
F.A. - FALANGE AUTENTICA,4,"0,02%","0,01%","0,02%"
PH - PARTIDO HUMANISTA,4,"0,02%","0,01%","0,02%"
