"",Candidatura,Votos,% válidos,% censo,% candidaturas
PP - PARTIDO POPULAR,,12.470,"55,46%",38%,"56,29%"
PSOE-PROGR. - PARTIDO SOCIALISTA OBRERO ESPAÑOL -,,5.310,"23,62%","16,18%","23,97%"
PROGRESISTAS,,,,,
CHA - CHUNTA ARAGONESISTA,,2.599,"11,56%","7,92%","11,73%"
IU - IZQUIERDA UNIDA DE ARAGON,,914,"4,07%","2,79%","4,13%"
PAR - PARTIDO ARAGONES,,615,"2,74%","1,87%","2,78%"
LV-GV - LOS VERDES-GRUPO VERDE-SOS NATURALEZA,,117,"0,52%","0,36%","0,53%"
INAR - INICIATIVA ARAGONESA,,40,"0,18%","0,12%","0,18%"
FE - LA FALANGE,,17,"0,08%","0,05%","0,08%"
FEI-FE 2000 - FALANGE ESPAÑOLA INDEPENDIENTE-FALANGE,,16,"0,07%","0,05%","0,07%"
2000,,,,,
PH - PARTIDO HUMANISTA,,16,"0,07%","0,05%","0,07%"
UC-CDS - UNION CENTRISTA-CENTRO DEMOCRATICO Y SOCIAL,,12,"0,05%","0,04%","0,05%"
PLN - PARTIDO DE LA LEY NATURAL,,9,"0,04%","0,03%","0,04%"
ES2000 - PLATAFORMA ESPAÑA 2000,,9,"0,04%","0,03%","0,04%"
EC - ESTAT CATALA,,6,"0,03%","0,02%","0,03%"
PADE - PARTIDO DEMOCRATA ESPAÑOL,,2,"0,01%","0,01%","0,01%"
