"",Candidatura,Votos,% válidos,% censo,% candidaturas
PP - PARTIDO POPULAR,,9.681,"40,36%","29,73%","41,45%"
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,,8.390,"34,98%","25,77%","35,92%"
CHA - CHUNTA ARAGONESISTA,,3.337,"13,91%","10,25%","14,29%"
IU-LV - IZQUIERDA UNIDA-LOS VERDES,,914,"3,81%","2,81%","3,91%"
PAR - PARTIDO ARAGONES,,840,"3,5%","2,58%","3,6%"
FyV - PARTIDO FAMILIA Y VIDA,,37,"0,15%","0,11%","0,16%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,,32,"0,13%","0,1%","0,14%"
CENB - CIUDADANOS EN BLANCO,,30,"0,13%","0,09%","0,13%"
DN - DEMOCRACIA NACIONAL,,18,"0,08%","0,06%","0,08%"
IR - IZQUIERDA REPUBLICANA,,16,"0,07%","0,05%","0,07%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,,14,"0,06%","0,04%","0,06%"
FE - LA FALANGE,,11,"0,05%","0,03%","0,05%"
FE de las JONS - FALANGE ESPAÑOLA DE LAS JONS,,8,"0,03%","0,02%","0,03%"
PCA - PARTIDO CARLISTA,,8,"0,03%","0,02%","0,03%"
MSR - MOVIMIENTO SOCIAL REPUBLICANO,,7,"0,03%","0,02%","0,03%"
PH - PARTIDO HUMANISTA,,6,"0,03%","0,02%","0,03%"
FA - FALANGE AUTENTICA,,6,"0,03%","0,02%","0,03%"
