"",Candidatura,Votos,% válidos,% censo,% candidaturas
PP - PARTIDO POPULAR,,10.441,"39,77%","30,29%","40,05%"
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,,7.125,"27,14%","20,67%","27,33%"
PAR - PARTIDO ARAGONES,,4.775,"18,19%","13,85%","18,32%"
IU - IZQUIERDA UNIDA DE ARAGON,,2.872,"10,94%","8,33%","11,02%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,,275,"1,05%","0,8%","1,05%"
CHA - CHUNTA ARAGONESISTA,,211,"0,8%","0,61%","0,81%"
VERDES - LOS VERDES,,145,"0,55%","0,42%","0,56%"
PST - PARTIDO SOCIALISTA DE LOS TRABAJADORES,,73,"0,28%","0,21%","0,28%"
ARM-PAI-MAS - AGRUPACION RUIZ-MATEOS P.A.I.-M.A.S.,,56,"0,21%","0,16%","0,21%"
LE - LOS ECOLOGISTAS,,37,"0,14%","0,11%","0,14%"
SEES - SALUD Y ECOLOGIA EN SOLIDARIDAD,,19,"0,07%","0,06%","0,07%"
IF - INDEPENDIENTES FEDERADOS DE ARAGON,,13,"0,05%","0,04%","0,05%"
POR - PARTIDO OBRERO REVOLUCIONARIO,,11,"0,04%","0,03%","0,04%"
PLN - PARTIDO DE LA LEY NATURAL,,7,"0,03%","0,02%","0,03%"
PH - PARTIDO HUMANISTA,,5,"0,02%","0,01%","0,02%"
NPS - COALICION POR UN NUEVO PARTIDO SOCIALISTA,,4,"0,02%","0,01%","0,02%"
UCE - UNIFICACION COMUNISTA DE ESPAÑA,,0,0%,0%,0%
