Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,17.117,"40,65%","31,26%","41,57%"
PP - PARTIDO POPULAR,14.065,"33,4%","25,69%","34,16%"
CHA - CHUNTA ARAGONESISTA,6.809,"16,17%","12,44%","16,54%"
PAR - PARTIDO ARAGONES,1.707,"4,05%","3,12%","4,15%"
IU-LV - IZQUIERDA UNIDA-LOS VERDES,1.180,"2,8%","2,16%","2,87%"
CENB - CIUDADANOS EN BLANCO,58,"0,14%","0,11%","0,14%"
FyV - PARTIDO FAMILIA Y VIDA,46,"0,11%","0,08%","0,11%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,45,"0,11%","0,08%","0,11%"
DN - DEMOCRACIA NACIONAL,39,"0,09%","0,07%","0,09%"
IR - IZQUIERDA REPUBLICANA,23,"0,05%","0,04%","0,06%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,23,"0,05%","0,04%","0,06%"
FE de las JONS - FALANGE ESPAÑOLA DE LAS JONS,16,"0,04%","0,03%","0,04%"
PH - PARTIDO HUMANISTA,15,"0,04%","0,03%","0,04%"
FE - LA FALANGE,13,"0,03%","0,02%","0,03%"
FA - FALANGE AUTENTICA,7,"0,02%","0,01%","0,02%"
MSR - MOVIMIENTO SOCIAL REPUBLICANO,6,"0,01%","0,01%","0,01%"
PCA - PARTIDO CARLISTA,4,"0,01%","0,01%","0,01%"
