Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,14.066,"35,66%","24,02%","35,96%"
PP - PARTIDO POPULAR,10.330,"26,19%","17,64%","26,41%"
IU - IZQUIERDA UNIDA,5.425,"13,75%","9,27%","13,87%"
PAR - PARTIDO ARAGONES REGIONALISTA,4.179,"10,6%","7,14%","10,68%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,3.191,"8,09%","5,45%","8,16%"
RUIZ-MATEOS - AGRUPACION RUIZ-MATEOS,495,"1,26%","0,85%","1,27%"
LV-LV - LOS VERDES-LISTA VERDE,297,"0,75%","0,51%","0,76%"
LVE - LOS VERDES ECOLOGISTAS,255,"0,65%","0,44%","0,65%"
UA-CH.A - UNION ARAGONESISTA-CHUNTA ARAGONESISTA,217,"0,55%","0,37%","0,55%"
PST - PARTIDO SOCIALISTA DE LOS TRABAJADORES,217,"0,55%","0,37%","0,55%"
PTE-UC - PARTIDO TRABAJADORES DE ESPAÑA-UNIDAD,191,"0,48%","0,33%","0,49%"
COMUNISTA,,,,
CSD - COALICION SOCIALDEMOCRATA,99,"0,25%","0,17%","0,25%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,58,"0,15%","0,1%","0,15%"
PH - PARTIDO HUMANISTA,34,"0,09%","0,06%","0,09%"
FE-JONS - FALANGE ESPAÑOLA DE LAS J.O.N.S.,34,"0,09%","0,06%","0,09%"
AR - ALIANZA POR LA REPUBLICA,24,"0,06%","0,04%","0,06%"
PCE-(M.L.) - PARTIDO COMUNISTA DE ESPAÑA,0,0%,0%,0%
