"",Candidatura,Votos,% válidos,% censo,% candidaturas
PP - PARTIDO POPULAR,,18.938,"47,19%","33,19%","47,93%"
PSOE-PROGR. - PARTIDO SOCIALISTA OBRERO ESPAÑOL -,,11.023,"27,47%","19,32%","27,9%"
PROGRESISTAS,,,,,
CHA - CHUNTA ARAGONESISTA,,6.031,"15,03%","10,57%","15,26%"
IU - IZQUIERDA UNIDA DE ARAGON,,1.692,"4,22%","2,97%","4,28%"
PAR - PARTIDO ARAGONES,,1.419,"3,54%","2,49%","3,59%"
LV-GV - LOS VERDES-GRUPO VERDE-SOS NATURALEZA,,206,"0,51%","0,36%","0,52%"
INAR - INICIATIVA ARAGONESA,,83,"0,21%","0,15%","0,21%"
ES2000 - PLATAFORMA ESPAÑA 2000,,25,"0,06%","0,04%","0,06%"
FE - LA FALANGE,,24,"0,06%","0,04%","0,06%"
FEI-FE 2000 - FALANGE ESPAÑOLA INDEPENDIENTE-FALANGE,,22,"0,05%","0,04%","0,06%"
2000,,,,,
UC-CDS - UNION CENTRISTA-CENTRO DEMOCRATICO Y SOCIAL,,19,"0,05%","0,03%","0,05%"
PLN - PARTIDO DE LA LEY NATURAL,,15,"0,04%","0,03%","0,04%"
PADE - PARTIDO DEMOCRATA ESPAÑOL,,7,"0,02%","0,01%","0,02%"
PH - PARTIDO HUMANISTA,,7,"0,02%","0,01%","0,02%"
EC - ESTAT CATALA,,2,0%,0%,"0,01%"
