Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,15.550,"45,04%","31,6%","45,93%"
ARAGON,,,,
P.S.O.E. - PARTIDO SOCIALISTA OBRERO ESPAÑOL,10.802,"31,29%","21,95%","31,91%"
"CHA-IU - CHUNTA ARAGONESISTA-IZQUIERDA UNIDA, La Izquierda",4.268,"12,36%","8,67%","12,61%"
UPyD - UNIÓN PROGRESO Y DEMOCRACIA,2.330,"6,75%","4,73%","6,88%"
EQUO - EQUO,244,"0,71%","0,5%","0,72%"
Eb - ESCAÑOS EN BLANCO,200,"0,58%","0,41%","0,59%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,170,"0,49%","0,35%","0,5%"
PUM+J - POR UN MUNDO MÁS JUSTO,76,"0,22%","0,15%","0,22%"
P.C.P.E. - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,75,"0,22%","0,15%","0,22%"
DeC - DEMOS EL CAMBIO,47,"0,14%","0,1%","0,14%"
P-LIB - PARTIDO DE LA LIBERTAD INDIVIDUAL,38,"0,11%","0,08%","0,11%"
U.C.E. - UNIFICACIÓN COMUNISTA DE ESPAÑA,35,"0,1%","0,07%","0,1%"
PH - PARTIDO HUMANISTA,21,"0,06%","0,04%","0,06%"
