"",Candidatura,Votos,% válidos,% censo,% candidaturas
PP - PARTIDO POPULAR,,14.022,"30,7%","23,8%","30,92%"
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,,13.329,"29,19%","22,63%","29,4%"
PAR - PARTIDO ARAGONES,,10.262,"22,47%","17,42%","22,63%"
IU - IZQUIERDA UNIDA DE ARAGON,,6.134,"13,43%","10,41%","13,53%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,,504,"1,1%","0,86%","1,11%"
CHA - CHUNTA ARAGONESISTA,,441,"0,97%","0,75%","0,97%"
VERDES - LOS VERDES,,269,"0,59%","0,46%","0,59%"
PST - PARTIDO SOCIALISTA DE LOS TRABAJADORES,,133,"0,29%","0,23%","0,29%"
ARM-PAI-MAS - AGRUPACION RUIZ-MATEOS P.A.I.-M.A.S.,,75,"0,16%","0,13%","0,17%"
LE - LOS ECOLOGISTAS,,58,"0,13%","0,1%","0,13%"
IF - INDEPENDIENTES FEDERADOS DE ARAGON,,45,"0,1%","0,08%","0,1%"
SEES - SALUD Y ECOLOGIA EN SOLIDARIDAD,,32,"0,07%","0,05%","0,07%"
POR - PARTIDO OBRERO REVOLUCIONARIO,,13,"0,03%","0,02%","0,03%"
PLN - PARTIDO DE LA LEY NATURAL,,11,"0,02%","0,02%","0,02%"
PH - PARTIDO HUMANISTA,,9,"0,02%","0,02%","0,02%"
NPS - COALICION POR UN NUEVO PARTIDO SOCIALISTA,,6,"0,01%","0,01%","0,01%"
UCE - UNIFICACION COMUNISTA DE ESPAÑA,,0,0%,0%,0%
