Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,2.081,"27,61%","18,84%","27,79%"
ARAGON,,,,
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,1.733,"22,99%","15,69%","23,14%"
PODEMOS - PODEMOS,1.596,"21,18%","14,45%","21,31%"
C's - CIUDADANOS-PARTIDO DE LA CIUDADANÍA,1.374,"18,23%","12,44%","18,35%"
"IU-CHA-UPeC - UNIDAD POPULAR EN ARAGÓN: IZQUIERDA UNIDA,",478,"6,34%","4,33%","6,38%"
CHUNTA,,,,
UPYD - UNIÓN PROGRESO Y DEMOCRACIA,62,"0,82%","0,56%","0,83%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,54,"0,72%","0,49%","0,72%"
EB - ESCAÑOS EN BLANCO,38,"0,5%","0,34%","0,51%"
VOX - VOX,25,"0,33%","0,23%","0,33%"
RECORTES CE - RECORTES CERO-GRUPO VERDE,22,"0,29%","0,2%","0,29%"
Independien - INDEPENDIENTES POR ARAGÓN,16,"0,21%","0,14%","0,21%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,9,"0,12%","0,08%","0,12%"
