Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,3.323,"46,4%","30,44%","47,24%"
ARAGON,,,,
P.S.O.E. - PARTIDO SOCIALISTA OBRERO ESPAÑOL,2.250,"31,42%","20,61%","31,98%"
"CHA-IU - CHUNTA ARAGONESISTA-IZQUIERDA UNIDA, La Izquierda",810,"11,31%","7,42%","11,51%"
UPyD - UNIÓN PROGRESO Y DEMOCRACIA,460,"6,42%","4,21%","6,54%"
EQUO - EQUO,45,"0,63%","0,41%","0,64%"
Eb - ESCAÑOS EN BLANCO,44,"0,61%","0,4%","0,63%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,39,"0,54%","0,36%","0,55%"
P.C.P.E. - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,24,"0,34%","0,22%","0,34%"
PUM+J - POR UN MUNDO MÁS JUSTO,10,"0,14%","0,09%","0,14%"
PH - PARTIDO HUMANISTA,10,"0,14%","0,09%","0,14%"
DeC - DEMOS EL CAMBIO,9,"0,13%","0,08%","0,13%"
U.C.E. - UNIFICACIÓN COMUNISTA DE ESPAÑA,8,"0,11%","0,07%","0,11%"
P-LIB - PARTIDO DE LA LIBERTAD INDIVIDUAL,3,"0,04%","0,03%","0,04%"
