Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,3.211,"41,88%","30,94%","42,64%"
PP - PARTIDO POPULAR,2.646,"34,51%","25,5%","35,14%"
CHA - CHUNTA ARAGONESISTA,1.033,"13,47%","9,95%","13,72%"
PAR - PARTIDO ARAGONES,301,"3,93%","2,9%",4%
IU-LV - IZQUIERDA UNIDA-LOS VERDES,286,"3,73%","2,76%","3,8%"
CENB - CIUDADANOS EN BLANCO,14,"0,18%","0,13%","0,19%"
FE de las JONS - FALANGE ESPAÑOLA DE LAS JONS,6,"0,08%","0,06%","0,08%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,6,"0,08%","0,06%","0,08%"
IR - IZQUIERDA REPUBLICANA,5,"0,07%","0,05%","0,07%"
FyV - PARTIDO FAMILIA Y VIDA,5,"0,07%","0,05%","0,07%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,5,"0,07%","0,05%","0,07%"
DN - DEMOCRACIA NACIONAL,4,"0,05%","0,04%","0,05%"
FE - LA FALANGE,4,"0,05%","0,04%","0,05%"
PH - PARTIDO HUMANISTA,3,"0,04%","0,03%","0,04%"
FA - FALANGE AUTENTICA,1,"0,01%","0,01%","0,01%"
PCA - PARTIDO CARLISTA,0,0%,0%,0%
MSR - MOVIMIENTO SOCIAL REPUBLICANO,0,0%,0%,0%
