Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,2.454,"36,72%","28,13%","36,91%"
PP - PARTIDO POPULAR,2.136,"31,96%","24,48%","32,13%"
PAR - PARTIDO ARAGONES,1.083,"16,21%","12,41%","16,29%"
IU - IZQUIERDA UNIDA DE ARAGON,766,"11,46%","8,78%","11,52%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,59,"0,88%","0,68%","0,89%"
PST - PARTIDO SOCIALISTA DE LOS TRABAJADORES,40,"0,6%","0,46%","0,6%"
VERDES - LOS VERDES,33,"0,49%","0,38%","0,5%"
CHA - CHUNTA ARAGONESISTA,31,"0,46%","0,36%","0,47%"
LE - LOS ECOLOGISTAS,11,"0,16%","0,13%","0,17%"
ARM-PAI-MAS - AGRUPACION RUIZ-MATEOS P.A.I.-M.A.S.,9,"0,13%","0,1%","0,14%"
NPS - COALICION POR UN NUEVO PARTIDO SOCIALISTA,6,"0,09%","0,07%","0,09%"
SEES - SALUD Y ECOLOGIA EN SOLIDARIDAD,5,"0,07%","0,06%","0,08%"
POR - PARTIDO OBRERO REVOLUCIONARIO,5,"0,07%","0,06%","0,08%"
IF - INDEPENDIENTES FEDERADOS DE ARAGON,5,"0,07%","0,06%","0,08%"
PLN - PARTIDO DE LA LEY NATURAL,4,"0,06%","0,05%","0,06%"
PH - PARTIDO HUMANISTA,2,"0,03%","0,02%","0,03%"
UCE - UNIFICACION COMUNISTA DE ESPAÑA,0,0%,0%,0%
