Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,2.370,"44,83%","29,49%","45,07%"
PP - PARTIDO POPULAR,1.302,"24,63%","16,2%","24,76%"
IU - IZQUIERDA UNIDA,580,"10,97%","7,22%","11,03%"
PAR - PARTIDO ARAGONES REGIONALISTA,464,"8,78%","5,77%","8,82%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,286,"5,41%","3,56%","5,44%"
PST - PARTIDO SOCIALISTA DE LOS TRABAJADORES,53,1%,"0,66%","1,01%"
RUIZ-MATEOS - AGRUPACION RUIZ-MATEOS,51,"0,96%","0,63%","0,97%"
LVE - LOS VERDES ECOLOGISTAS,43,"0,81%","0,54%","0,82%"
CSD - COALICION SOCIALDEMOCRATA,31,"0,59%","0,39%","0,59%"
LV-LV - LOS VERDES-LISTA VERDE,28,"0,53%","0,35%","0,53%"
PTE-UC - PARTIDO TRABAJADORES DE ESPAÑA-UNIDAD,19,"0,36%","0,24%","0,36%"
COMUNISTA,,,,
UA-CH.A - UNION ARAGONESISTA-CHUNTA ARAGONESISTA,10,"0,19%","0,12%","0,19%"
FE-JONS - FALANGE ESPAÑOLA DE LAS J.O.N.S.,9,"0,17%","0,11%","0,17%"
AR - ALIANZA POR LA REPUBLICA,6,"0,11%","0,07%","0,11%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,5,"0,09%","0,06%","0,1%"
PH - PARTIDO HUMANISTA,2,"0,04%","0,02%","0,04%"
PCE-(M.L.) - PARTIDO COMUNISTA DE ESPAÑA,0,0%,0%,0%
