"",Candidatura,Votos,% válidos,% censo,% candidaturas
PP - PARTIDO POPULAR,,3.093,"45,99%","30,03%","46,37%"
PSOE-PROGR. - PARTIDO SOCIALISTA OBRERO ESPAÑOL -,,2.059,"30,61%","19,99%","30,87%"
PROGRESISTAS,,,,,
CHA - CHUNTA ARAGONESISTA,,864,"12,85%","8,39%","12,95%"
IU - IZQUIERDA UNIDA DE ARAGON,,311,"4,62%","3,02%","4,66%"
PAR - PARTIDO ARAGONES,,286,"4,25%","2,78%","4,29%"
LV-GV - LOS VERDES-GRUPO VERDE-SOS NATURALEZA,,37,"0,55%","0,36%","0,55%"
PH - PARTIDO HUMANISTA,,4,"0,06%","0,04%","0,06%"
FE - LA FALANGE,,4,"0,06%","0,04%","0,06%"
INAR - INICIATIVA ARAGONESA,,3,"0,04%","0,03%","0,04%"
UC-CDS - UNION CENTRISTA-CENTRO DEMOCRATICO Y SOCIAL,,3,"0,04%","0,03%","0,04%"
FEI-FE 2000 - FALANGE ESPAÑOLA INDEPENDIENTE-FALANGE,,3,"0,04%","0,03%","0,04%"
2000,,,,,
ES2000 - PLATAFORMA ESPAÑA 2000,,1,"0,01%","0,01%","0,01%"
PLN - PARTIDO DE LA LEY NATURAL,,1,"0,01%","0,01%","0,01%"
PADE - PARTIDO DEMOCRATA ESPAÑOL,,1,"0,01%","0,01%","0,01%"
EC - ESTAT CATALA,,0,0%,0%,0%
