Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,9.145,44%,"32,6%","44,85%"
PP - PARTIDO POPULAR,5.506,"26,49%","19,63%",27%
CHA - CHUNTA ARAGONESISTA,3.961,"19,06%","14,12%","19,42%"
IU-LV - IZQUIERDA UNIDA-LOS VERDES,966,"4,65%","3,44%","4,74%"
PAR - PARTIDO ARAGONES,668,"3,21%","2,38%","3,28%"
CENB - CIUDADANOS EN BLANCO,28,"0,13%","0,1%","0,14%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,23,"0,11%","0,08%","0,11%"
FyV - PARTIDO FAMILIA Y VIDA,21,"0,1%","0,07%","0,1%"
DN - DEMOCRACIA NACIONAL,18,"0,09%","0,06%","0,09%"
IR - IZQUIERDA REPUBLICANA,13,"0,06%","0,05%","0,06%"
PH - PARTIDO HUMANISTA,10,"0,05%","0,04%","0,05%"
FE - LA FALANGE,8,"0,04%","0,03%","0,04%"
MSR - MOVIMIENTO SOCIAL REPUBLICANO,7,"0,03%","0,02%","0,03%"
FA - FALANGE AUTENTICA,6,"0,03%","0,02%","0,03%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,6,"0,03%","0,02%","0,03%"
FE de las JONS - FALANGE ESPAÑOLA DE LAS JONS,5,"0,02%","0,02%","0,02%"
PCA - PARTIDO CARLISTA,1,0%,0%,0%
