"",Candidatura,Votos,% válidos,% censo,% candidaturas
PP - PARTIDO POPULAR,,7.270,"37,83%","25,36%","38,35%"
PSOE-PROGR. - PARTIDO SOCIALISTA OBRERO ESPAÑOL -,,6.094,"31,71%","21,26%","32,15%"
PROGRESISTAS,,,,,
CHA - CHUNTA ARAGONESISTA,,3.540,"18,42%","12,35%","18,67%"
IU - IZQUIERDA UNIDA DE ARAGON,,1.070,"5,57%","3,73%","5,64%"
PAR - PARTIDO ARAGONES,,739,"3,85%","2,58%","3,9%"
LV-GV - LOS VERDES-GRUPO VERDE-SOS NATURALEZA,,115,"0,6%","0,4%","0,61%"
INAR - INICIATIVA ARAGONESA,,53,"0,28%","0,18%","0,28%"
FE - LA FALANGE,,30,"0,16%","0,1%","0,16%"
PH - PARTIDO HUMANISTA,,12,"0,06%","0,04%","0,06%"
UC-CDS - UNION CENTRISTA-CENTRO DEMOCRATICO Y SOCIAL,,8,"0,04%","0,03%","0,04%"
FEI-FE 2000 - FALANGE ESPAÑOLA INDEPENDIENTE-FALANGE,,7,"0,04%","0,02%","0,04%"
2000,,,,,
PLN - PARTIDO DE LA LEY NATURAL,,7,"0,04%","0,02%","0,04%"
ES2000 - PLATAFORMA ESPAÑA 2000,,6,"0,03%","0,02%","0,03%"
PADE - PARTIDO DEMOCRATA ESPAÑOL,,4,"0,02%","0,01%","0,02%"
EC - ESTAT CATALA,,2,"0,01%","0,01%","0,01%"
