Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,6.500,"36,73%","24,77%","37,5%"
ARAGON,,,,
P.S.O.E. - PARTIDO SOCIALISTA OBRERO ESPAÑOL,6.206,"35,06%","23,65%","35,8%"
"CHA-IU - CHUNTA ARAGONESISTA-IZQUIERDA UNIDA, La Izquierda",2.835,"16,02%","10,8%","16,36%"
UPyD - UNIÓN PROGRESO Y DEMOCRACIA,1.198,"6,77%","4,57%","6,91%"
EQUO - EQUO,179,"1,01%","0,68%","1,03%"
Eb - ESCAÑOS EN BLANCO,122,"0,69%","0,46%","0,7%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,114,"0,64%","0,43%","0,66%"
P.C.P.E. - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,57,"0,32%","0,22%","0,33%"
PUM+J - POR UN MUNDO MÁS JUSTO,35,"0,2%","0,13%","0,2%"
U.C.E. - UNIFICACIÓN COMUNISTA DE ESPAÑA,29,"0,16%","0,11%","0,17%"
DeC - DEMOS EL CAMBIO,21,"0,12%","0,08%","0,12%"
PH - PARTIDO HUMANISTA,20,"0,11%","0,08%","0,12%"
P-LIB - PARTIDO DE LA LIBERTAD INDIVIDUAL,18,"0,1%","0,07%","0,1%"
