Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,7.921,"37,6%","28,39%","37,84%"
PAR - PARTIDO ARAGONES,4.506,"21,39%","16,15%","21,53%"
PP - PARTIDO POPULAR,4.505,"21,38%","16,15%","21,52%"
IU - IZQUIERDA UNIDA DE ARAGON,3.190,"15,14%","11,43%","15,24%"
CHA - CHUNTA ARAGONESISTA,252,"1,2%","0,9%","1,2%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,220,"1,04%","0,79%","1,05%"
VERDES - LOS VERDES,104,"0,49%","0,37%","0,5%"
PST - PARTIDO SOCIALISTA DE LOS TRABAJADORES,88,"0,42%","0,32%","0,42%"
LE - LOS ECOLOGISTAS,38,"0,18%","0,14%","0,18%"
ARM-PAI-MAS - AGRUPACION RUIZ-MATEOS P.A.I.-M.A.S.,35,"0,17%","0,13%","0,17%"
SEES - SALUD Y ECOLOGIA EN SOLIDARIDAD,31,"0,15%","0,11%","0,15%"
IF - INDEPENDIENTES FEDERADOS DE ARAGON,14,"0,07%","0,05%","0,07%"
NPS - COALICION POR UN NUEVO PARTIDO SOCIALISTA,10,"0,05%","0,04%","0,05%"
PH - PARTIDO HUMANISTA,7,"0,03%","0,03%","0,03%"
POR - PARTIDO OBRERO REVOLUCIONARIO,7,"0,03%","0,03%","0,03%"
PLN - PARTIDO DE LA LEY NATURAL,5,"0,02%","0,02%","0,02%"
UCE - UNIFICACION COMUNISTA DE ESPAÑA,0,0%,0%,0%
