Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,3.230,"41,65%","27,54%","41,92%"
PP - PARTIDO POPULAR,1.823,"23,51%","15,54%","23,66%"
PAR - PARTIDO ARAGONES REGIONALISTA,1.051,"13,55%","8,96%","13,64%"
IU - IZQUIERDA UNIDA,689,"8,88%","5,87%","8,94%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,452,"5,83%","3,85%","5,87%"
RUIZ-MATEOS - AGRUPACION RUIZ-MATEOS,120,"1,55%","1,02%","1,56%"
PST - PARTIDO SOCIALISTA DE LOS TRABAJADORES,82,"1,06%","0,7%","1,06%"
CSD - COALICION SOCIALDEMOCRATA,49,"0,63%","0,42%","0,64%"
LV-LV - LOS VERDES-LISTA VERDE,48,"0,62%","0,41%","0,62%"
LVE - LOS VERDES ECOLOGISTAS,47,"0,61%","0,4%","0,61%"
PTE-UC - PARTIDO TRABAJADORES DE ESPAÑA-UNIDAD,43,"0,55%","0,37%","0,56%"
COMUNISTA,,,,
UA-CH.A - UNION ARAGONESISTA-CHUNTA ARAGONESISTA,36,"0,46%","0,31%","0,47%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,14,"0,18%","0,12%","0,18%"
FE-JONS - FALANGE ESPAÑOLA DE LAS J.O.N.S.,9,"0,12%","0,08%","0,12%"
PH - PARTIDO HUMANISTA,7,"0,09%","0,06%","0,09%"
AR - ALIANZA POR LA REPUBLICA,6,"0,08%","0,05%","0,08%"
PCE-(M.L.) - PARTIDO COMUNISTA DE ESPAÑA,0,0%,0%,0%
