Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,6.178,"46,33%","32,89%","47,37%"
ARAGON,,,,
P.S.O.E. - PARTIDO SOCIALISTA OBRERO ESPAÑOL,3.762,"28,21%","20,03%","28,85%"
"CHA-IU - CHUNTA ARAGONESISTA-IZQUIERDA UNIDA, La Izquierda",1.725,"12,94%","9,18%","13,23%"
UPyD - UNIÓN PROGRESO Y DEMOCRACIA,1.008,"7,56%","5,37%","7,73%"
EQUO - EQUO,108,"0,81%","0,57%","0,83%"
Eb - ESCAÑOS EN BLANCO,79,"0,59%","0,42%","0,61%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,71,"0,53%","0,38%","0,54%"
PUM+J - POR UN MUNDO MÁS JUSTO,39,"0,29%","0,21%","0,3%"
P.C.P.E. - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,24,"0,18%","0,13%","0,18%"
DeC - DEMOS EL CAMBIO,18,"0,13%","0,1%","0,14%"
P-LIB - PARTIDO DE LA LIBERTAD INDIVIDUAL,15,"0,11%","0,08%","0,12%"
PH - PARTIDO HUMANISTA,11,"0,08%","0,06%","0,08%"
U.C.E. - UNIFICACIÓN COMUNISTA DE ESPAÑA,3,"0,02%","0,02%","0,02%"
