Candidatura,Votos,% válidos,% censo,% candidaturas
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,3.002,"31,58%","24,12%","31,79%"
PP - PARTIDO POPULAR,2.885,"30,35%","23,18%","30,55%"
PAR - PARTIDO ARAGONES,2.253,"23,7%","18,1%","23,86%"
IU - IZQUIERDA UNIDA DE ARAGON,960,"10,1%","7,71%","10,17%"
CHA - CHUNTA ARAGONESISTA,100,"1,05%","0,8%","1,06%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,87,"0,92%","0,7%","0,92%"
VERDES - LOS VERDES,51,"0,54%","0,41%","0,54%"
PST - PARTIDO SOCIALISTA DE LOS TRABAJADORES,34,"0,36%","0,27%","0,36%"
ARM-PAI-MAS - AGRUPACION RUIZ-MATEOS P.A.I.-M.A.S.,21,"0,22%","0,17%","0,22%"
LE - LOS ECOLOGISTAS,16,"0,17%","0,13%","0,17%"
IF - INDEPENDIENTES FEDERADOS DE ARAGON,14,"0,15%","0,11%","0,15%"
POR - PARTIDO OBRERO REVOLUCIONARIO,7,"0,07%","0,06%","0,07%"
SEES - SALUD Y ECOLOGIA EN SOLIDARIDAD,7,"0,07%","0,06%","0,07%"
PLN - PARTIDO DE LA LEY NATURAL,5,"0,05%","0,04%","0,05%"
NPS - COALICION POR UN NUEVO PARTIDO SOCIALISTA,0,0%,0%,0%
PH - PARTIDO HUMANISTA,0,0%,0%,0%
UCE - UNIFICACION COMUNISTA DE ESPAÑA,0,0%,0%,0%
