Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,3.828,"26,87%","19,94%","27,1%"
ARAGON,,,,
C's - CIUDADANOS-PARTIDO DE LA CIUDADANÍA,3.163,"22,2%","16,47%","22,39%"
PODEMOS - PODEMOS,3.035,"21,31%","15,81%","21,49%"
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,2.648,"18,59%","13,79%","18,75%"
"IU-CHA-UPeC - UNIDAD POPULAR EN ARAGÓN: IZQUIERDA UNIDA,",992,"6,96%","5,17%","7,02%"
CHUNTA,,,,
UPYD - UNIÓN PROGRESO Y DEMOCRACIA,114,"0,8%","0,59%","0,81%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,114,"0,8%","0,59%","0,81%"
EB - ESCAÑOS EN BLANCO,111,"0,78%","0,58%","0,79%"
VOX - VOX,43,"0,3%","0,22%","0,3%"
RECORTES CE - RECORTES CERO-GRUPO VERDE,40,"0,28%","0,21%","0,28%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,20,"0,14%","0,1%","0,14%"
Independien - INDEPENDIENTES POR ARAGÓN,17,"0,12%","0,09%","0,12%"
