"",Candidatura,Votos,% válidos,% censo,% candidaturas
PP - PARTIDO POPULAR,,5.074,"46,76%","31,47%","47,41%"
PSOE-PROGR. - PARTIDO SOCIALISTA OBRERO ESPAÑOL -,,2.910,"26,82%","18,05%","27,19%"
PROGRESISTAS,,,,,
CHA - CHUNTA ARAGONESISTA,,1.753,"16,16%","10,87%","16,38%"
PAR - PARTIDO ARAGONES,,432,"3,98%","2,68%","4,04%"
IU - IZQUIERDA UNIDA DE ARAGON,,425,"3,92%","2,64%","3,97%"
LV-GV - LOS VERDES-GRUPO VERDE-SOS NATURALEZA,,57,"0,53%","0,35%","0,53%"
INAR - INICIATIVA ARAGONESA,,16,"0,15%","0,1%","0,15%"
ES2000 - PLATAFORMA ESPAÑA 2000,,8,"0,07%","0,05%","0,07%"
UC-CDS - UNION CENTRISTA-CENTRO DEMOCRATICO Y SOCIAL,,8,"0,07%","0,05%","0,07%"
FE - LA FALANGE,,6,"0,06%","0,04%","0,06%"
PH - PARTIDO HUMANISTA,,6,"0,06%","0,04%","0,06%"
FEI-FE 2000 - FALANGE ESPAÑOLA INDEPENDIENTE-FALANGE,,4,"0,04%","0,02%","0,04%"
2000,,,,,
PADE - PARTIDO DEMOCRATA ESPAÑOL,,3,"0,03%","0,02%","0,03%"
EC - ESTAT CATALA,,1,"0,01%","0,01%","0,01%"
PLN - PARTIDO DE LA LEY NATURAL,,0,0%,0%,0%
