"",Candidatura,Votos,% válidos,% censo,% candidaturas
PP - PARTIDO POPULAR,,19.599,"47,74%","39,06%","48,25%"
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,,7.875,"19,18%","15,69%","19,39%"
PAR - PARTIDO ARAGONES,,7.447,"18,14%","14,84%","18,33%"
IU - IZQUIERDA UNIDA DE ARAGON,,4.294,"10,46%","8,56%","10,57%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,,554,"1,35%","1,1%","1,36%"
CHA - CHUNTA ARAGONESISTA,,357,"0,87%","0,71%","0,88%"
VERDES - LOS VERDES,,249,"0,61%","0,5%","0,61%"
LE - LOS ECOLOGISTAS,,68,"0,17%","0,14%","0,17%"
ARM-PAI-MAS - AGRUPACION RUIZ-MATEOS P.A.I.-M.A.S.,,53,"0,13%","0,11%","0,13%"
PST - PARTIDO SOCIALISTA DE LOS TRABAJADORES,,44,"0,11%","0,09%","0,11%"
SEES - SALUD Y ECOLOGIA EN SOLIDARIDAD,,37,"0,09%","0,07%","0,09%"
PH - PARTIDO HUMANISTA,,13,"0,03%","0,03%","0,03%"
POR - PARTIDO OBRERO REVOLUCIONARIO,,12,"0,03%","0,02%","0,03%"
PLN - PARTIDO DE LA LEY NATURAL,,11,"0,03%","0,02%","0,03%"
IF - INDEPENDIENTES FEDERADOS DE ARAGON,,7,"0,02%","0,01%","0,02%"
NPS - COALICION POR UN NUEVO PARTIDO SOCIALISTA,,3,"0,01%","0,01%","0,01%"
UCE - UNIFICACION COMUNISTA DE ESPAÑA,,0,0%,0%,0%
