"",Candidatura,Votos,% válidos,% censo,% candidaturas
PP - PARTIDO POPULAR,,21.052,"49,95%","40,26%","50,85%"
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,,14.508,"34,42%","27,74%","35,04%"
CHA - CHUNTA ARAGONESISTA,,1.734,"4,11%","3,32%","4,19%"
PAR - PARTIDO ARAGONES,,1.311,"3,11%","2,51%","3,17%"
IU - IZQUIERDA UNIDA-ALTERNATIVA,,1.170,"2,78%","2,24%","2,83%"
UPyD - UNION PROGRESO Y DEMOCRACIA,,994,"2,36%","1,9%","2,4%"
LV - LOS VERDES-GRUPO VERDE,,175,"0,42%","0,33%","0,42%"
C's - CIUDADANOS-PARTIDO DE LA CIUDADANIA,,128,"0,3%","0,24%","0,31%"
PACMA - PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL,,82,"0,19%","0,16%","0,2%"
PUM+J - POR UN MUNDO MAS JUSTO,,44,"0,1%","0,08%","0,11%"
Cenb - CIUDADANOS EN BLANCO,,39,"0,09%","0,07%","0,09%"
pCUA - PARTIDO CIUDADANOS UNIDOS DE ARAGON,,37,"0,09%","0,07%","0,09%"
PFyV - PARTIDO FAMILIA Y VIDA,,23,"0,05%","0,04%","0,06%"
DN - DEMOCRACIA NACIONAL,,19,"0,05%","0,04%","0,05%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,,15,"0,04%","0,03%","0,04%"
FE de las JONS - FALANGE ESPAÑOLA DE LAS JONS,,14,"0,03%","0,03%","0,03%"
PH - PARTIDO HUMANISTA,,13,"0,03%","0,02%","0,03%"
AES - ALTERNATIVA ESPAÑOLA,,9,"0,02%","0,02%","0,02%"
F.E - FRENTE ESPAÑOL,,8,"0,02%","0,02%","0,02%"
PSD-FIA - PARTIDO SOCIAL DEMOCRATA-FEDERACION DE LOS,,8,"0,02%","0,02%","0,02%"
INDEPENDIENTES DE ARAGON,,,,,
AuN - ALIANZA NACIONAL,,8,"0,02%","0,02%","0,02%"
F.A. - FALANGE AUTENTICA,,6,"0,01%","0,01%","0,01%"
