Candidatura,Votos,% válidos,% censo,% candidaturas
PP-PAR - PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO,25.366,"53,8%","40,97%","54,99%"
ARAGON,,,,
P.S.O.E. - PARTIDO SOCIALISTA OBRERO ESPAÑOL,10.155,"21,54%","16,4%","22,01%"
"CHA-IU - CHUNTA ARAGONESISTA-IZQUIERDA UNIDA, La Izquierda",4.992,"10,59%","8,06%","10,82%"
UPyD - UNIÓN PROGRESO Y DEMOCRACIA,4.187,"8,88%","6,76%","9,08%"
EQUO - EQUO,560,"1,19%","0,9%","1,21%"
Eb - ESCAÑOS EN BLANCO,285,"0,6%","0,46%","0,62%"
PACMA - PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,271,"0,57%","0,44%","0,59%"
PUM+J - POR UN MUNDO MÁS JUSTO,104,"0,22%","0,17%","0,23%"
P.C.P.E. - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,69,"0,15%","0,11%","0,15%"
PH - PARTIDO HUMANISTA,41,"0,09%","0,07%","0,09%"
DeC - DEMOS EL CAMBIO,39,"0,08%","0,06%","0,08%"
U.C.E. - UNIFICACIÓN COMUNISTA DE ESPAÑA,30,"0,06%","0,05%","0,07%"
P-LIB - PARTIDO DE LA LIBERTAD INDIVIDUAL,30,"0,06%","0,05%","0,07%"
