"",Candidatura,Votos,% válidos,% censo,% candidaturas
PP - PARTIDO POPULAR,,15.078,"42,75%","31,09%","43,3%"
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,,7.831,"22,2%","16,15%","22,49%"
PAR - PARTIDO ARAGONES REGIONALISTA,,3.730,"10,57%","7,69%","10,71%"
IU - IZQUIERDA UNIDA,,3.646,"10,34%","7,52%","10,47%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,,2.889,"8,19%","5,96%","8,3%"
RUIZ-MATEOS - AGRUPACION RUIZ-MATEOS,,427,"1,21%","0,88%","1,23%"
LV-LV - LOS VERDES-LISTA VERDE,,313,"0,89%","0,65%","0,9%"
LVE - LOS VERDES ECOLOGISTAS,,266,"0,75%","0,55%","0,76%"
UA-CH.A - UNION ARAGONESISTA-CHUNTA ARAGONESISTA,,201,"0,57%","0,41%","0,58%"
PST - PARTIDO SOCIALISTA DE LOS TRABAJADORES,,134,"0,38%","0,28%","0,38%"
CSD - COALICION SOCIALDEMOCRATA,,101,"0,29%","0,21%","0,29%"
PTE-UC - PARTIDO TRABAJADORES DE ESPAÑA-UNIDAD,,100,"0,28%","0,21%","0,29%"
COMUNISTA,,,,,
AR - ALIANZA POR LA REPUBLICA,,35,"0,1%","0,07%","0,1%"
FE-JONS - FALANGE ESPAÑOLA DE LAS J.O.N.S.,,31,"0,09%","0,06%","0,09%"
PH - PARTIDO HUMANISTA,,24,"0,07%","0,05%","0,07%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,,17,"0,05%","0,04%","0,05%"
PCE-(M.L.) - PARTIDO COMUNISTA DE ESPAÑA,,0,0%,0%,0%
