"",Candidatura,Votos,% válidos,% censo,% candidaturas
PP - PARTIDO POPULAR,,20.078,"48,16%","39,04%","49,79%"
PSOE - PARTIDO SOCIALISTA OBRERO ESPAÑOL,,12.435,"29,83%","24,18%","30,84%"
CHA - CHUNTA ARAGONESISTA,,4.922,"11,81%","9,57%","12,21%"
PAR - PARTIDO ARAGONES,,1.376,"3,3%","2,68%","3,41%"
IU-LV - IZQUIERDA UNIDA-LOS VERDES,,1.131,"2,71%","2,2%","2,8%"
FyV - PARTIDO FAMILIA Y VIDA,,94,"0,23%","0,18%","0,23%"
CENB - CIUDADANOS EN BLANCO,,92,"0,22%","0,18%","0,23%"
CDS - CENTRO DEMOCRATICO Y SOCIAL,,71,"0,17%","0,14%","0,18%"
PH - PARTIDO HUMANISTA,,26,"0,06%","0,05%","0,06%"
IR - IZQUIERDA REPUBLICANA,,18,"0,04%","0,03%","0,04%"
DN - DEMOCRACIA NACIONAL,,16,"0,04%","0,03%","0,04%"
PCA - PARTIDO CARLISTA,,16,"0,04%","0,03%","0,04%"
FE de las JONS - FALANGE ESPAÑOLA DE LAS JONS,,14,"0,03%","0,03%","0,03%"
MSR - MOVIMIENTO SOCIAL REPUBLICANO,,13,"0,03%","0,03%","0,03%"
FE - LA FALANGE,,10,"0,02%","0,02%","0,02%"
PCPE - PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,,6,"0,01%","0,01%","0,01%"
FA - FALANGE AUTENTICA,,5,"0,01%","0,01%","0,01%"
